Player_ID,position
180,Right Winger
181,Defender
181,Centre-Back
182,Midfield
182,Defensive Midfield
183,Midfield
183,Attacking Midfield
184,Defender
184,Left-Back
185,Midfield
185,Central Midfield
186,Goalkeeper
187,Goalkeeper
188,Midfield
188,Defensive Midfield
189,Midfield
189,Central Midfield
190,Goalkeeper
191,Attack
191,Second Striker
192,Defender
192,Left-Back
193,Midfield
193,Defensive Midfield
194,Midfield
194,Defensive Midfield
195,Goalkeeper
196,Goalkeeper
197,Goalkeeper
198,Midfield
198,Defensive Midfield
199,Midfield
199,Central Midfield
200,Midfield
200,Central Midfield
201,Attack
201,Left Winger
202,Goalkeeper
203,Midfield
203,Defensive Midfield
204,Midfield
204,Central Midfield
205,Goalkeeper
206,Defender
206,Centre-Back
207,Goalkeeper
208,Defender
208,Centre-Back
209,Defender
209,Centre-Back
210,Goalkeeper
211,Attack
211,Right Winger
212,Goalkeeper
213,Midfield
213,Central Midfield
214,Attack
214,Centre-Forward
215,Defender
215,Left-Back
216,Defender
216,Right-Back
217,Goalkeeper
218,Defender
218,Centre-Back
219,Midfield
219,Attacking Midfield
220,Defender
220,Centre-Back
221,Goalkeeper
222,Midfield
222,Defensive Midfield
223,Defender
223,Right-Back
224,Midfield
224,Defensive Midfield
225,Attack
225,Left Winger
226,Goalkeeper
227,Midfield
227,Central Midfield
228,Defender
228,Left-Back
229,Defender
229,Centre-Back
230,Attack
230,Centre-Forward
231,Defender
231,Left-Back
232,Defender
232,Centre-Back
233,Midfield
233,Central Midfield
234,Midfield
234,Defensive Midfield
235,Attack
235,Right Winger
236,Attack
236,Centre-Forward
237,Defender
237,Left-Back
238,Midfield
238,Central Midfield
239,Attack
239,Second Striker
240,Midfield
240,Central Midfield
241,Goalkeeper
242,Attack
242,Centre-Forward
243,Attack
243,Centre-Forward
244,Defender
244,Centre-Back
245,Attack
245,Centre-Forward
246,Attack
246,Centre-Forward
247,Goalkeeper
248,Midfield
248,Central Midfield
249,Defender
249,Centre-Back
250,Attack
250,Centre-Forward
251,Goalkeeper
252,Defender
252,Centre-Back
253,Goalkeeper
254,Goalkeeper
255,Midfield
255,Defensive Midfield
256,Defender
256,Left-Back
257,Midfield
257,Attacking Midfield
258,Goalkeeper
259,Attack
259,Centre-Forward
260,Defender
260,Centre-Back
261,Midfield
261,Attacking Midfield
262,Defender
262,Centre-Back
263,Attack
263,Right Winger
264,Midfield
264,Defensive Midfield
265,Defender
265,Right-Back
266,Defender
266,Centre-Back
267,Defender
267,Centre-Back
268,Goalkeeper
269,Attack
269,Centre-Forward
270,Attack
270,Centre-Forward
271,Midfield
271,Attacking Midfield
272,Defender
272,Centre-Back
273,Midfield
273,Defensive Midfield
274,Midfield
274,Defensive Midfield
275,Midfield
275,Central Midfield
276,Attack
276,Centre-Forward
277,Defender
277,Right-Back
278,Midfield
278,Central Midfield
279,Midfield
279,Central Midfield
280,Defender
280,Left-Back
281,Attack
281,Centre-Forward
282,Attack
282,Left Winger
283,Midfield
283,Central Midfield
284,Attack
284,Centre-Forward
285,Defender
285,Centre-Back
286,Defender
286,Centre-Back
287,Midfield
287,Defensive Midfield
288,Defender
288,Centre-Back
289,Goalkeeper
290,Defender
290,Right-Back
291,Midfield
291,Central Midfield
292,Midfield
292,Central Midfield
293,Attack
293,Centre-Forward
294,Midfield
294,Attacking Midfield
295,Attack
295,Right Winger
296,Defender
296,Centre-Back
297,Defender
297,Centre-Back
298,Goalkeeper
299,Midfield
299,Attacking Midfield
300,Goalkeeper
301,Goalkeeper
302,Attack
302,Second Striker
303,Defender
303,Centre-Back
304,Defender
304,Centre-Back
305,Attack
305,Centre-Forward
306,Goalkeeper
307,Attack
307,Left Winger
308,Defender
308,Centre-Back
309,Attack
309,Centre-Forward
310,Midfield
310,Attacking Midfield
311,Midfield
311,Central Midfield
312,Defender
312,Left-Back
313,Midfield
313,Central Midfield
314,Goalkeeper
315,Midfield
315,Attacking Midfield
316,Midfield
316,Central Midfield
317,Goalkeeper
318,Attack
318,Centre-Forward
319,Defender
319,Left-Back
320,Defender
320,Right-Back
321,Defender
321,Centre-Back
322,Defender
322,Centre-Back
323,Attack
323,Left Winger
324,Goalkeeper
325,Goalkeeper
326,Midfield
326,Defensive Midfield
327,Midfield
327,Attacking Midfield
328,Goalkeeper
329,Midfield
329,Defensive Midfield
330,Midfield
330,Central Midfield
331,Midfield
331,Central Midfield
332,Defender
332,Centre-Back
333,Attack
333,Centre-Forward
334,Defender
334,Left-Back
335,Attack
335,Left Winger
336,Midfield
336,Defensive Midfield
337,Defender
337,Left-Back
338,Midfield
338,Defensive Midfield
339,Attack
339,Right Winger
340,Defender
340,Centre-Back
341,Midfield
341,Defensive Midfield
342,Goalkeeper
343,Midfield
343,Defensive Midfield
344,Goalkeeper
345,Defender
345,Centre-Back
346,Midfield
346,Central Midfield
347,Goalkeeper
348,Defender
348,Centre-Back
349,Midfield
349,Defensive Midfield
350,Defender
350,Centre-Back
351,Defender
351,Centre-Back
352,Defender
352,Centre-Back
353,Defender
353,Centre-Back
354,Goalkeeper
355,Midfield
355,Central Midfield
356,Midfield
356,Defensive Midfield
357,Defender
357,Centre-Back
358,Goalkeeper
359,Attack
359,Centre-Forward
360,Midfield
360,Defensive Midfield
361,Attack
