Game_ID,Club_Name
387,Bochum
387,Ein Frankfurt
388,Hertha
388,Hoffenheim
389,Bielefeld
389,Mainz
390,FC Koln
390,Dortmund
391,Freiburg
391,Greuther Furth
392,Wolfsburg
392,Leverkusen
393,Union Berlin
393,Bayern Munich
394,RB Leipzig
394,Ein Frankfurt
395,Stuttgart
395,Augsburg
396,M'gladbach
396,Bochum
397,Mainz
397,M'gladbach
398,Freiburg
398,Bayern Munich
399,Bochum
399,Hoffenheim
400,Bielefeld
400,Stuttgart
401,Wolfsburg
401,Augsburg
402,Dortmund
402,RB Leipzig
403,Hertha
403,Leverkusen
404,Union Berlin
404,FC Koln
405,Ein Frankfurt
405,Greuther Furth
406,Augsburg
406,Bayern Munich
407,Wolfsburg
407,Bielefeld
408,Dortmund
408,Stuttgart
409,RB Leipzig
409,Hoffenheim
410,Leverkusen
410,Bochum
411,M'gladbach
411,Greuther Furth
412,Hertha
412,Union Berlin
413,Ein Frankfurt
413,Freiburg
414,Mainz
414,FC Koln
415,Mainz
415,Stuttgart
416,Bochum
416,Freiburg
417,M'gladbach
417,FC Koln
418,Greuther Furth
418,Hoffenheim
419,Augsburg
419,Hertha
420,Wolfsburg
420,Dortmund
421,Bayern Munich
421,Bielefeld
422,Union Berlin
422,Ein Frankfurt
423,RB Leipzig
423,Leverkusen
424,RB Leipzig
424,Union Berlin
425,Augsburg
425,Bochum
426,FC Koln
426,Bielefeld
427,Hoffenheim
427,Ein Frankfurt
428,Greuther Furth
428,Leverkusen
429,Mainz
429,Wolfsburg
430,Bayern Munich
430,Dortmund
431,Hertha
431,Stuttgart
432,M'gladbach
432,Freiburg
433,FC Koln
433,Augsburg
434,Mainz
434,Bayern Munich
435,Dortmund
435,Bochum
436,Freiburg
436,Hoffenheim
437,Hertha
437,Bielefeld
438,M'gladbach
438,RB Leipzig
439,Stuttgart
439,Wolfsburg
440,Greuther Furth
440,Union Berlin
441,Ein Frankfurt
441,Leverkusen
442,Bayern Munich
442,Stuttgart
443,Bielefeld
443,Bochum
444,Hertha
444,Mainz
445,Wolfsburg
445,FC Koln
446,Ein Frankfurt
446,M'gladbach
447,Augsburg
447,RB Leipzig
448,Greuther Furth
448,Dortmund
449,Leverkusen
449,Hoffenheim
450,Freiburg
450,Union Berlin
451,Bayern Munich
451,Wolfsburg
452,Union Berlin
452,Bochum
453,Ein Frankfurt
453,Mainz
454,Augsburg
454,Greuther Furth
455,Hoffenheim
455,M'gladbach
456,Bielefeld
456,RB Leipzig
457,Hertha
457,Dortmund
458,Leverkusen
458,Freiburg
459,FC Koln
459,Stuttgart
460,M'gladbach
460,Bayern Munich
461,Freiburg
461,Bielefeld
462,Stuttgart
462,Greuther Furth
463,Hoffenheim
463,Augsburg
464,Union Berlin
464,Leverkusen
465,Mainz
465,RB Leipzig
466,Ein Frankfurt
466,Dortmund
467,Hertha
467,FC Koln
468,Wolfsburg
468,Bochum
469,Freiburg
469,Dortmund
470,FC Koln
470,Bayern Munich
471,Bochum
471,Mainz
472,RB Leipzig
472,Stuttgart
473,Union Berlin
473,Hoffenheim
474,Hertha
474,Wolfsburg
475,M'gladbach
475,Leverkusen
476,Ein Frankfurt
476,Augsburg
477,Greuther Furth
477,Bielefeld
478,Ein Frankfurt
478,Bielefeld
479,Freiburg
479,Stuttgart
480,Mainz
480,Greuther Furth
481,Hoffenheim
481,Dortmund
482,Augsburg
482,Leverkusen
483,M'gladbach
483,Union Berlin
484,FC Koln
484,Bochum
485,RB Leipzig
485,Wolfsburg
486,Bayern Munich
486,Hertha
487,Hertha
487,Bochum
488,Union Berlin
488,Augsburg
489,Bielefeld
489,M'gladbach
490,Freiburg
490,FC Koln
491,Mainz
491,Hoffenheim
492,Ein Frankfurt
492,Stuttgart
493,Bayern Munich
493,RB Leipzig
494,Leverkusen
494,Dortmund
495,Greuther Furth
495,Wolfsburg
496,RB Leipzig
496,FC Koln
497,Bochum
497,Bayern Munich
498,Wolfsburg
498,Ein Frankfurt
499,Mainz
499,Freiburg
500,Greuther Furth
500,Hertha
501,Augsburg
501,M'gladbach
502,Leverkusen
502,Stuttgart
503,Union Berlin
503,Dortmund
504,Bielefeld
504,Hoffenheim
505,Mainz
505,Leverkusen
506,Freiburg
506,Augsburg
507,Union Berlin
507,Bielefeld
508,Stuttgart
508,Bochum
509,Hoffenheim
509,Wolfsburg
510,FC Koln
510,Ein Frankfurt
511,Greuther Furth
511,Bayern Munich
512,Dortmund
512,M'gladbach
513,RB Leipzig
513,Hertha
514,Hoffenheim
514,Stuttgart
515,Hertha
515,Freiburg
516,Greuther Furth
516,FC Koln
517,Bielefeld
517,Leverkusen
518,M'gladbach
518,Wolfsburg
519,Union Berlin
519,Mainz
520,Bayern Munich
520,Ein Frankfurt
521,Bochum
521,RB Leipzig
522,Dortmund
522,Augsburg
523,Bielefeld
523,Augsburg
524,Leverkusen
524,Bayern Munich
525,Greuther Furth
525,Bochum
526,Hertha
526,Ein Frankfurt
527,Freiburg
527,RB Leipzig
528,Wolfsburg
528,Union Berlin
529,M'gladbach
529,Stuttgart
530,FC Koln
530,Hoffenheim
531,Freiburg
531,Wolfsburg
532,Bayern Munich
532,Hoffenheim
533,Union Berlin
533,Stuttgart
534,Hertha
534,M'gladbach
535,Leverkusen
535,FC Koln
536,Bielefeld
536,Dortmund
537,Ein Frankfurt
537,Bochum
538,Greuther Furth
538,RB Leipzig
539,Dortmund
539,Mainz
540,Bochum
540,M'gladbach
541,Freiburg
541,Greuther Furth
542,Hertha
542,Hoffenheim
543,Bielefeld
543,Mainz
544,Stuttgart
544,Augsburg
545,Union Berlin
545,Bayern Munich
546,RB Leipzig
546,Ein Frankfurt
547,Leverkusen
547,Wolfsburg
548,FC Koln
548,Dortmund
549,FC Koln
549,Union Berlin
550,Bielefeld
550,Stuttgart
551,Greuther Furth
551,Ein Frankfurt
552,Freiburg
552,Bayern Munich
553,Bochum
553,Hoffenheim
554,Leverkusen
554,Hertha
555,RB Leipzig
555,Dortmund
556,Augsburg
556,Wolfsburg
557,M'gladbach
557,Mainz
558,Mainz
558,Augsburg
559,Stuttgart
559,Dortmund
560,Augsburg
560,Bayern Munich
561,FC Koln
561,Mainz
562,M'gladbach
562,Greuther Furth
563,Bielefeld
563,Wolfsburg
564,Hertha
564,Union Berlin
565,Bochum
565,Leverkusen
566,Freiburg
566,Ein Frankfurt
567,RB Leipzig
567,Hoffenheim
568,Hertha
568,Augsburg
569,Dortmund
569,Wolfsburg
570,Bochum
570,Freiburg
571,Mainz
571,Stuttgart
572,FC Koln
572,M'gladbach
573,Bielefeld
573,Bayern Munich
574,Greuther Furth
574,Hoffenheim
575,Union Berlin
575,Ein Frankfurt
576,RB Leipzig
576,Leverkusen
577,Mainz
577,Wolfsburg
578,Ein Frankfurt
578,Hoffenheim
579,Bielefeld
579,FC Koln
580,Freiburg
580,M'gladbach
581,Greuther Furth
581,Leverkusen
582,Union Berlin
582,RB Leipzig
583,Bayern Munich
583,Dortmund
584,Augsburg
584,Bochum
585,Stuttgart
585,Hertha
586,Union Berlin
586,Greuther Furth
587,FC Koln
587,Augsburg
588,Bielefeld
588,Hertha
589,Bochum
589,Dortmund
590,Mainz
590,Bayern Munich
591,Wolfsburg
591,Stuttgart
592,Hoffenheim
592,Freiburg
593,Leverkusen
593,Ein Frankfurt
594,RB Leipzig
594,M'gladbach
595,Bielefeld
595,Bochum
596,FC Koln
596,Wolfsburg
597,Freiburg
597,Union Berlin
598,Greuther Furth
598,Dortmund
599,Leverkusen
599,Hoffenheim
600,Hertha
600,Mainz
601,M'gladbach
601,Ein Frankfurt
602,Bayern Munich
602,Stuttgart
603,Augsburg
603,RB Leipzig
604,Augsburg
604,Greuther Furth
605,RB Leipzig
605,Bielefeld
606,Dortmund
606,Hertha
607,Freiburg
607,Leverkusen
608,Mainz
608,Ein Frankfurt
609,Hoffenheim
609,M'gladbach
610,Stuttgart
610,FC Koln
611,Bochum
611,Union Berlin
612,Wolfsburg
612,Bayern Munich
613,Bayern Munich
613,Ein Frankfurt
614,Augsburg
614,Freiburg
615,Mainz
615,Bochum
616,M'gladbach
616,Hoffenheim
617,Hertha
617,Union Berlin
618,Wolfsburg
618,Werder Bremen
619,Leverkusen
619,Dortmund
620,Stuttgart
620,RB Leipzig
621,FC Koln
621,Schalke 04
622,Dortmund
622,Freiburg
623,Ein Frankfurt
623,Hertha
624,Hoffenheim
624,Bochum
625,Leverkusen
625,Augsburg
626,FC Koln
626,RB Leipzig
627,Werder Bremen
627,Stuttgart
628,M'gladbach
628,Schalke 04
629,Mainz
629,Union Berlin
630,Wolfsburg
630,Bayern Munich
631,Hertha
631,M'gladbach
632,Augsburg
